Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos;
10/9/2024;14;Pesados 2 Ejes;AVE;Mercado Pago;Provincia;Mercado Pago;19;
10/9/2024;14;Pesados 2 Ejes;AVE;Mercado Pago OCR;Centro;Mercado Pago;3;
10/9/2024;14;Pesados 2 Ejes;AVE;Mercado Pago OCR;Provincia;Mercado Pago;4;
10/9/2024;14;Pesados 2 Ejes;AVE;Paso en Infracción;Centro;Rec.Deuda;8;
10/9/2024;14;Pesados 2 Ejes;AVE;Paso en Infracción;Provincia;Rec.Deuda;8;
10/9/2024;14;Pesados 2 Ejes;AVE;Tag - Exento;Centro;Tag;5;
10/9/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago;Centro;Tag;198;
10/9/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago;Provincia;Tag;291;
10/9/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;51;
10/9/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;93;
10/9/2024;14;Pesados 2 Ejes;AVE;Violación - Normal;Provincia;Violación;1;
10/9/2024;14;Pesados 2 Ejes;DEC;Efectivo;Centro;Efectivo;3;
10/9/2024;14;Pesados 2 Ejes;DEC;Exento - Otros motivos;Centro;Exento;16;
10/9/2024;14;Pesados 2 Ejes;DEC;Exento - Reglamento;Centro;Exento;5;
10/9/2024;14;Pesados 2 Ejes;DEC;Mercado Pago;Centro;Mercado Pago;9;
10/9/2024;14;Pesados 2 Ejes;DEC;Mercado Pago OCR;Centro;Mercado Pago;3;
10/9/2024;14;Pesados 2 Ejes;DEC;Paso a facturar - (colectivo);Centro;Rec.Deuda;1;
10/9/2024;14;Pesados 2 Ejes;DEC;Paso en Infracción;Centro;Rec.Deuda;3;
10/9/2024;14;Pesados 2 Ejes;DEC;Tag - PosPago;Centro;Tag;135;
10/9/2024;14;Pesados 2 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;25;
10/9/2024;14;Pesados 2 Ejes;DEC;Violación - Normal;Centro;Violación;5;
10/9/2024;14;Pesados 2 Ejes;DEL;Efectivo;Provincia;Efectivo;6;
10/9/2024;14;Pesados 2 Ejes;DEL;Exento - Otros motivos;Provincia;Exento;20;
10/9/2024;14;Pesados 2 Ejes;DEL;Exento - Reglamento;Provincia;Exento;3;
10/9/2024;14;Pesados 2 Ejes;DEL;Mercado Pago;Provincia;Mercado Pago;10;
10/9/2024;14;Pesados 2 Ejes;DEL;Mercado Pago OCR;Provincia;Mercado Pago;1;
10/9/2024;14;Pesados 2 Ejes;DEL;Metrobus no hab. TAG Mercado Pago;Provincia;Mercado Pago;5;
10/9/2024;14;Pesados 2 Ejes;DEL;Paso a facturar - (colectivo);Provincia;Rec.Deuda;1;
10/9/2024;14;Pesados 2 Ejes;DEL;Paso en Infracción;Provincia;Rec.Deuda;4;
10/9/2024;14;Pesados 2 Ejes;DEL;Tag - PosPago;Provincia;Tag;149;
10/9/2024;14;Pesados 2 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;33;
10/9/2024;14;Pesados 2 Ejes;DEL;Violación - Normal;Provincia;Violación;8;
10/9/2024;14;Pesados 2 Ejes;KDT;Mercado Pago;Centro;Mercado Pago;13;
10/9/2024;14;Pesados 2 Ejes;KDT;Mercado Pago;Provincia;Mercado Pago;11;
10/9/2024;14;Pesados 2 Ejes;KDT;Mercado Pago OCR;Centro;Mercado Pago;1;
10/9/2024;14;Pesados 2 Ejes;KDT;Mercado Pago OCR;Provincia;Mercado Pago;2;
10/9/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago;Centro;Tag;223;
10/9/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago;Provincia;Tag;221;
10/9/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago OCR;Centro;Tag;25;
10/9/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;45;
10/9/2024;14;Pesados 2 Ejes;KDT;Violación - Normal;Centro;Violación;8;
10/9/2024;14;Pesados 2 Ejes;KDT;Violación - Normal;Provincia;Violación;9;
10/9/2024;14;Pesados 2 Ejes;PB1;Mercado Pago;Provincia;Mercado Pago;5;
10/9/2024;14;Pesados 2 Ejes;PB1;Mercado Pago OCR;Provincia;Mercado Pago;4;
10/9/2024;14;Pesados 2 Ejes;PB1;Tag - PosPago;Provincia;Tag;117;
10/9/2024;14;Pesados 2 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;29;
10/9/2024;14;Pesados 2 Ejes;PB1;Violación - Normal;Provincia;Violación;6;
10/9/2024;14;Pesados 2 Ejes;PB2;Mercado Pago;Centro;Mercado Pago;8;
10/9/2024;14;Pesados 2 Ejes;PB2;Mercado Pago OCR;Centro;Mercado Pago;3;
10/9/2024;14;Pesados 2 Ejes;PB2;Tag - PosPago;Centro;Tag;151;
10/9/2024;14;Pesados 2 Ejes;PB2;Tag - PosPago OCR;Centro;Tag;40;
10/9/2024;14;Pesados 2 Ejes;PB2;Violación - Normal;Centro;Violación;14;
10/9/2024;14;Pesados 2 Ejes;PB3;Mercado Pago;Provincia;Mercado Pago;5;
10/9/2024;14;Pesados 2 Ejes;PB3;Mercado Pago OCR;Provincia;Mercado Pago;6;
10/9/2024;14;Pesados 2 Ejes;PB3;Tag - PosPago;Provincia;Tag;117;
10/9/2024;14;Pesados 2 Ejes;PB3;Tag - PosPago OCR;Provincia;Tag;37;
