Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
13/3/2024;14;Pesados 2 Ejes;DEC;Paso en Infracción;Centro;Rec.Deuda;14
13/3/2024;14;Pesados 2 Ejes;DEC;Tag - PosPago;Centro;Tag;123
13/3/2024;14;Pesados 2 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;34
13/3/2024;14;Pesados 2 Ejes;DEC;Violación - Normal;Centro;Violación;1
13/3/2024;14;Pesados 2 Ejes;DEL;Efectivo;Provincia;Efectivo;4
13/3/2024;14;Pesados 2 Ejes;DEL;Exento - Otros motivos;Provincia;Exento;5
13/3/2024;14;Pesados 2 Ejes;DEL;Exento - Reglamento;Provincia;Exento;8
13/3/2024;14;Pesados 2 Ejes;DEL;Mercado Pago;Provincia;Mercado Pago;10
13/3/2024;14;Pesados 2 Ejes;DEL;Mercado Pago OCR;Provincia;Mercado Pago;2
13/3/2024;14;Pesados 2 Ejes;DEL;Paso en Infracción;Provincia;Rec.Deuda;5
13/3/2024;14;Pesados 2 Ejes;DEL;Tag - PosPago;Provincia;Tag;151
13/3/2024;14;Pesados 2 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;32
13/3/2024;14;Pesados 2 Ejes;DEL;Violación - Normal;Provincia;Violación;5
13/3/2024;14;Pesados 2 Ejes;KDT;Mercado Pago;Centro;Mercado Pago;12
13/3/2024;14;Pesados 2 Ejes;KDT;Mercado Pago;Provincia;Mercado Pago;9
13/3/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago;Centro;Tag;184
13/3/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago;Provincia;Tag;188
13/3/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago OCR;Centro;Tag;15
13/3/2024;14;Pesados 2 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;23
13/3/2024;14;Pesados 2 Ejes;KDT;Violación - Normal;Centro;Violación;16
13/3/2024;14;Pesados 2 Ejes;KDT;Violación - Normal;Provincia;Violación;10
13/3/2024;14;Pesados 2 Ejes;PB1;Mercado Pago;Provincia;Mercado Pago;7
13/3/2024;14;Pesados 2 Ejes;PB1;Mercado Pago OCR;Provincia;Mercado Pago;1
13/3/2024;14;Pesados 2 Ejes;PB1;Tag - PosPago;Provincia;Tag;102
13/3/2024;14;Pesados 2 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;19
13/3/2024;14;Pesados 2 Ejes;PB1;Violación - Normal;Provincia;Violación;8
13/3/2024;14;Pesados 2 Ejes;PB2;Mercado Pago;Centro;Mercado Pago;1
13/3/2024;14;Pesados 2 Ejes;PB2;Tag - PosPago;Centro;Tag;11
13/3/2024;14;Pesados 2 Ejes;PB2;Tag - PosPago OCR;Centro;Tag;2
13/3/2024;14;Pesados 2 Ejes;PB2;Violación - Normal;Centro;Violación;3
13/3/2024;14;Pesados 2 Ejes;PB3;Tag - PosPago;Provincia;Tag;9
13/3/2024;14;Pesados 2 Ejes;PB3;Tag - PosPago OCR;Provincia;Tag;3
13/3/2024;14;Pesados 2 Ejes;PB3;Violación - Normal;Provincia;Violación;1
13/3/2024;14;Pesados 2 Ejes;PB4;Mercado Pago;Centro;Mercado Pago;6
13/3/2024;14;Pesados 2 Ejes;PB4;Mercado Pago OCR;Centro;Mercado Pago;1
13/3/2024;14;Pesados 2 Ejes;PB4;Tag - PosPago;Centro;Tag;126
13/3/2024;14;Pesados 2 Ejes;PB4;Tag - PosPago OCR;Centro;Tag;17
13/3/2024;14;Pesados 2 Ejes;PB4;Violación - Normal;Centro;Violación;12
13/3/2024;14;Pesados 2 Ejes;SAL;Tag - PosPago;Provincia;Tag;2
13/3/2024;14;Pesados 2 Ejes;SAL;Tag - PosPago OCR;Provincia;Tag;1
13/3/2024;14;Pesados 2 Ejes;SAR;Tag - PosPago;Provincia;Tag;9
