indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2021-01-01,98007.58325283098,24420.020915074365,98007583.25283,94524545.26598,3483037.9868500005,98007583.25283,31878415.60910801,26481717.359305106,34421611.729676,5225838.554741,98007583.25283,67171235.97265501,12982834.104759997,24393220.467840005,2973192.4986529993,10138651.410120007,11818373.501102002,4076717.8043100005,788246.1858699998,14237729.536586002,2206737.4643899994,6405815.40872,7986064.870480007
2021-02-01,92954.23368112402,22322.62103430943,92954233.68111998,89908053.01556998,3046180.66555,92954233.68111998,30090418.939483996,26089199.968869206,32111865.511882994,4662749.260879998,92954233.68111998,65274742.24813402,12129210.025470003,23633068.01465001,2964209.932129999,10043345.312269997,11768651.947894003,3978725.70026,757531.31546,13331244.025280004,1985959.50775,5106560.634039998,7255727.265920001
2021-03-01,107225.88448978103,24627.553412049245,107225884.48978001,103243215.2959,3982669.1938799997,107225884.48978001,33646699.760530025,28304088.351349995,39721336.17659,5553760.2013112,107225884.48978001,75459017.55465901,12468763.319620006,29069610.328840002,3638242.45253,11823788.248,13353172.975238997,4214424.174690001,891016.0557399999,14963310.658660004,2205228.8844499993,6918341.604330001,7679985.787682
2021-04-01,106870.18588609398,23407.475069338758,106870185.88608995,102742178.64234994,4128007.2437400003,106870185.88608995,33030717.33914999,28509160.0986,39528435.059999995,5801873.388339999,106870185.88608995,76493949.46388401,11739913.65,29827096.111789007,3616384.0334219984,12309094.615401998,14047026.358151,4041721.714679999,912712.9804400002,14912712.276949998,2217601.19947,6042114.41201,7203808.533780001
2021-05-01,110604.69456479797,23368.393763666063,110604694.56479998,104997658.23470998,5607036.33009,110604694.56479998,33391018.41487,29448299.39426999,41132600.50917,6632776.246490001,110604694.56479998,78026097.546298,10758291.661590002,31328427.63126999,3801495.0800799998,13116541.507779999,14204902.667358,3924175.620469998,892263.37775,14517188.309739998,2686103.3893500012,7849584.392559999,7525720.926849998
2021-06-01,116287.89295616007,23677.99416274856,116287892.95615998,111477594.54618998,4810298.4099699985,116287892.95615998,34735136.74001,32637663.36478999,42074159.71627,6840933.135089999,116287892.95615998,80623853.66400559,11744001.500854194,32622021.607925504,3921981.9525800003,13537963.959311698,14134807.87912049,3748454.174113699,914622.5901,14484893.559882898,3640081.8683,9514178.630860003,8024885.233111582
2021-07-01,125658.55253241002,24779.46708113056,125658552.53241004,120904098.31748004,4754454.214929999,125658552.53241004,37973547.560765006,37146178.898209,43727330.43950201,6811495.633934002,125658552.53241004,87238128.85006,13755772.373499995,34683058.37416999,4322896.980460002,14292062.104300002,15147184.625190001,3985101.6066600033,1052052.78578,15724007.710100003,4051857.5073,9222787.619860005,9421770.845089998
2021-08-01,124840.31996239901,23990.069055768367,124840319.96239999,120181530.94271998,4658789.019680001,124840319.96239999,38180625.55514,35434522.94616999,44242610.352050014,6982561.109040003,124840319.96239999,87044720.924779,13762712.181420002,34500426.75201,4370305.272810001,14512831.617069995,14736387.947459005,4074608.925539999,1087448.22847,15920169.137190007,2944642.7748399996,8443256.1996,10487530.925990004
2021-09-01,123002.25242975802,22962.046342330883,123002252.42976004,118585472.17123003,4416780.258529999,123002252.42976004,38080750.85783998,34575381.28240999,43445911.37943999,6900208.910069997,123002252.42976004,87296730.505958,14164245.335670004,34298836.96477799,4333686.607449999,14489891.670490006,14721979.889489993,4184266.092729999,1103823.9453499997,16336755.107220002,2805934.3052500007,7977185.49358,8585647.017749999
2021-10-01,140487.48726625007,25386.745245625458,140487487.26625,136000643.3463,4486843.91995,140487487.26625,43323345.69436999,39697514.9889,50159841.63313002,7306784.94985,140487487.26625,97615705.17146997,17838460.219970006,37081602.262489974,4773476.075109999,15561031.996110003,16349404.553150004,4785226.4022200005,1226503.6624200002,18501724.822480004,3328328.42133,10919887.98903,10121840.861939998
