indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2009-05-01,133.03567047814315,121.28537683941259,124.17024227360308,-0.13700712899590087,-0.0036532300603970215,-0.0014001583186733057
2009-06-01,129.31265804805898,122.60656376218151,124.31462552305375,-0.07964803315040299,0.010893208704939213,0.0011627846318647528
2009-07-01,127.3630583750141,124.97903159911989,124.76084487166611,-0.06788435845530998,0.019350251439557837,0.003589435649545578
2009-08-01,124.00328620894652,126.78440900354198,125.4754812389296,-0.055867091127287265,0.014445442417996758,0.005728050078521107
2009-09-01,126.18512812472765,128.23210659123666,126.41678318933008,-0.04539673760848757,0.011418577402953645,0.007501879579230746
2009-10-01,127.07986188269525,129.3630769887506,127.53669494735533,-0.02542514983523148,0.008819713155919118,0.0088588851082217
2009-11-01,127.09219178029132,129.71681988115253,128.78501929437056,0.01246442173040819,0.002734496586167978,0.009787962182417544
2009-12-01,126.28656380555832,127.88535766927716,130.11352823310926,0.02284481459767946,-0.014118926239121237,0.010315710212397135
2010-01-01,121.50567852923163,131.60873225296325,131.47790790194398,0.04065881809302922,0.029114940533810484,0.010486070798036594
2010-02-01,119.82280209203972,132.9443614179742,132.83889194740257,0.04321774168656518,0.010148484391170599,0.010351427606177167
2010-03-01,136.89550162046118,133.9688859784705,134.16553121372098,0.08504615194797509,0.007706416049306739,0.00998682875828024
2010-04-01,145.77413149301782,136.89264571794305,135.43718613223214,0.1389444094540704,0.02182416997885923,0.00947825352016423
2010-05-01,158.1106315304388,139.15022764629376,136.63522414994407,0.18848299078114777,0.016491623173112514,0.00884570960107098
2010-06-01,149.86155200805445,140.62625157673395,137.74689787798337,0.15890860392304745,0.010607412976657855,0.008136069852817514
2010-07-01,139.50568662872732,139.4855191016734,138.7659212868431,0.09533869874543882,-0.008111803182339087,0.007397795700360348
2010-08-01,137.24598068715568,139.8873925033154,139.69475399358117,0.10679309301444732,0.0028811119909090623,0.006693521709974135
2010-09-01,136.69642672162283,139.53745656631128,140.54602095236208,0.08330061357551813,-0.002501554505677319,0.0060937646865394865
2010-10-01,135.13884450692316,140.12372945372593,141.3331353152316,0.06341667755090086,0.0042015448886732545,0.005600403039060779
2010-11-01,139.59882328372223,142.1752717415266,142.06906052890918,0.0984059785911282,0.014640934093023646,0.005207025316718301
2010-12-01,138.47764951271685,142.23323488250477,142.7686561793713,0.09653509716147625,0.0004076879211707762,0.004924335023104902
2011-01-01,133.0769197185519,145.93254604286537,143.4460711909434,0.0952321021485139,0.02600876766542285,0.004744844069422385
2011-02-01,129.50988684262188,144.1471009463509,144.10550361097754,0.08084508608921695,-0.012234728612149581,0.004597075504120056
2011-03-01,147.00183909502377,144.491653511483,144.74027740262287,0.07382519772331236,0.002390284389141897,0.004404924001785133
2011-04-01,151.03582303961804,144.82639858304609,145.33060450662214,0.03609482349652865,0.002316708705506443,0.004078526824687287
2011-05-01,166.17834208101743,147.0418594711519,145.84844803362665,0.05102573098650524,0.015297355383973183,0.003563210438451705
2011-06-01,156.69365851225533,146.8653126592764,146.26324191272704,0.04558945515147002,-0.001200656823236841,0.002844006122058715
2011-07-01,146.37808828046835,147.06144819461264,146.5464457596006,0.04926251981419824,0.0013354789622192697,0.0019362612449309324
2011-08-01,146.3985053847187,146.84910955626347,146.67600246587276,0.06668701445199815,-0.001443876970857616,0.0008840658372888299
2011-09-01,147.170906821271,148.38855238765396,146.64395843867348,0.07662585153728302,0.010483160817537538,-0.00021846809744303642
2011-10-01,145.0500024277993,147.390414443514,146.45851053982346,0.07334055546381706,-0.006726515813244163,-0.0012646132907518392
2011-11-01,146.3616451241655,147.34184573590616,146.1456642687779,0.04844469087463892,-0.0003295241945767202,-0.0021360743728205023
2011-12-01,143.36165785374328,147.88103388798518,145.7442047236054,0.035269289724461285,0.0036594366616355956,-0.002746982246658831
2012-01-01,136.19408129361287,147.56522721182145,145.30427697474545,0.02342375809158753,-0.00213554549803149,-0.00301849222543197
2012-02-01,132.3605259407412,144.54941348463927,144.88116486529498,0.02201097667225497,-0.020437157073957195,-0.002911904028289598
2012-03-01,147.44101624495764,145.6031720197803,144.5270019197003,0.002987562282469156,0.007289953724046114,-0.002444506474833901
2012-04-01,145.52027831854522,141.4296220546333,144.28493914723109,-0.036518122721296606,-0.028663867052154613,-0.001674861923751081
2012-05-01,157.40418371936033,140.39318449128638,144.18582990468784,-0.05279965037429136,-0.007328291968047296,-0.0006868994305921206
2012-06-01,149.0331017415051,140.95236800599073,144.245336249267,-0.04888874791414139,0.003982981914190162,0.0004127059130465227
2012-07-01,146.86279961903688,144.69987938601443,144.46268273594927,0.0033113654117397574,0.0265870764219045,0.0015067834588889184
2012-08-01,145.69325698881013,145.18002148942801,144.8201406794484,-0.004817319644454443,0.0033181928378303383,0.0024743964097115167
2012-09-01,142.47153651731426,146.24378080665318,145.28530454269762,-0.03193138104166053,0.0073271742648324785,0.0032120108506097722
2012-10-01,147.23130295530083,147.1624865045147,145.81611698139307,0.015038266053027485,0.006282015500379714,0.003653586578258796
2012-11-01,146.37343184468628,147.09313006477208,146.37121159680234,8.053148426128586e-05,-0.00047129157294108383,0.0038068124902825673
2012-12-01,143.58505809958143,149.29828800031578,146.91348862133867,0.001558298426389939,0.014991576660124508,0.0037048065573857514
2013-01-01,136.51707182504433,146.25896594067513,147.41303059876236,0.0023715460199416325,-0.020357380518885863,0.0034002458325063855
2013-02-01,132.795321964955,148.5255966021133,147.84667535458118,0.0032849372660280094,0.015497379233198955,0.0029416989397574866
2013-03-01,149.40394566736484,148.69297829893915,148.19763343766022,0.013313319945828397,0.0011269552229052238,0.0023737975996911587
2013-04-01,155.94159584157654,148.5647767463007,148.45365766540954,0.07161419455382685,-0.0008621896884780255,0.0017275864790175888
2013-05-01,167.9734791225302,148.39724921235532,148.60969074727765,0.06714748714693712,-0.0011276396573562408,0.00105105582659192
2013-06-01,156.27186443024067,148.78935662779415,148.66292600926394,0.04857150930999921,0.0026422822358232166,0.00035822200906679316
2013-07-01,150.73100129825897,148.1276147742639,148.61109993802714,0.02633888016064148,-0.004447507997401061,-0.000348614631959947
2013-08-01,148.42144953050052,150.27463946130064,148.45633897026923,0.018725592371786347,0.014494425568849324,-0.0010413822912450144
2013-09-01,147.0048441881334,150.2258713678455,148.20689138067155,0.03181904106346337,-0.00032452643792694856,-0.001680275772175861
