,p,i,q,P,I,Q,AIC
0,2,1,2,2,0,1,3936.5923336079964
0,2,1,2,2,0,2,3911.9654497290103
0,2,1,2,2,0,3,inf
0,2,1,2,3,0,0,3939.536164047534
0,2,1,2,3,0,1,3928.176575554655
0,2,1,2,3,0,2,3911.2109492543177
0,2,1,2,3,0,3,3898.0607628119233
0,2,1,3,0,0,0,4142.789399907115
0,2,1,3,0,0,1,4063.3017503942674
0,2,1,3,0,0,2,4028.7549039112037
0,2,1,3,0,0,3,4018.4893639574
0,2,1,3,1,0,0,3994.2256904848687
0,2,1,3,1,0,1,inf
0,2,1,3,1,0,2,inf
0,2,1,3,1,0,3,inf
0,2,1,3,2,0,0,3953.941473462585
0,2,1,3,2,0,1,3943.2866820119275
0,2,1,3,2,0,2,3915.593048283843
0,2,1,3,2,0,3,inf
0,2,1,3,3,0,0,3941.723794094517
0,2,1,3,3,0,1,inf
0,2,1,3,3,0,2,inf
0,2,1,3,3,0,3,3909.9107994685455
0,3,1,0,0,0,0,4245.362745022395
0,3,1,0,0,0,1,4139.6194699318585
0,3,1,0,0,0,2,4095.9517610387393
0,3,1,0,0,0,3,4066.041709901201
0,3,1,0,1,0,0,4037.123404347276
0,3,1,0,1,0,1,3924.073327934553
0,3,1,0,1,0,2,3922.524353061729
0,3,1,0,1,0,3,3924.5601671907334
0,3,1,0,2,0,0,3994.9342104524635
0,3,1,0,2,0,1,3922.4720463361095
0,3,1,0,2,0,2,inf
0,3,1,0,2,0,3,3939.394884013196
0,3,1,0,3,0,0,3968.8538503153695
0,3,1,0,3,0,1,3924.405650377942
0,3,1,0,3,0,2,inf
0,3,1,0,3,0,3,3919.181119977392
0,3,1,1,0,0,0,4153.5188128726295
0,3,1,1,0,0,1,4066.8440472642355
0,3,1,1,0,0,2,4042.2347156202995
0,3,1,1,0,0,3,4018.2178548245943
0,3,1,1,1,0,0,3992.5572341762127
0,3,1,1,1,0,1,3917.6239661508876
0,3,1,1,1,0,2,3922.8072250223013
0,3,1,1,1,0,3,3906.442117605651
0,3,1,1,2,0,0,3959.1145781446403
0,3,1,1,2,0,1,3921.0584398035294
0,3,1,1,2,0,2,3921.9843386458833
0,3,1,1,2,0,3,3941.901249355543
0,3,1,1,3,0,0,3938.559938989484
0,3,1,1,3,0,1,3960.992127166487
0,3,1,1,3,0,2,3964.061077642941
0,3,1,1,3,0,3,3901.6882925932177
0,3,1,2,0,0,0,4134.418503014446
0,3,1,2,0,0,1,4062.152548653501
0,3,1,2,0,0,2,4032.337122835418
0,3,1,2,0,0,3,4009.6207812269977
0,3,1,2,1,0,0,3986.520595441938
0,3,1,2,1,0,1,3925.351713587229
0,3,1,2,1,0,2,3922.0015093315424
0,3,1,2,1,0,3,3921.7610318168354
0,3,1,2,2,0,0,3963.9429611081605
0,3,1,2,2,0,1,3933.35510173333
0,3,1,2,2,0,2,3904.27359125971
0,3,1,2,2,0,3,inf
0,3,1,2,3,0,0,3943.616357794932
0,3,1,2,3,0,1,3927.9975144946675
0,3,1,2,3,0,2,inf
0,3,1,2,3,0,3,3898.190219900993
0,3,1,3,0,0,0,4113.866905089011
0,3,1,3,0,0,1,4046.073699652809
0,3,1,3,0,0,2,4030.6666479118535
0,3,1,3,0,0,3,4009.303019870763
0,3,1,3,1,0,0,3992.052079549372
0,3,1,3,1,0,1,3944.504793863882
0,3,1,3,1,0,2,3929.2119073950935
0,3,1,3,1,0,3,3930.636736075774
0,3,1,3,2,0,0,3959.418761805724
0,3,1,3,2,0,1,3934.3426740187197
0,3,1,3,2,0,2,3907.764732663498
0,3,1,3,2,0,3,inf
0,3,1,3,3,0,0,3948.702687655695
0,3,1,3,3,0,1,3937.8568163213286
0,3,1,3,3,0,2,3940.5777158998326
0,3,1,3,3,0,3,3900.1875413870166
